cohort,cohort_f4_year,cohort_f5_year,cohort_f6_year,first_taught_form_term,unit,title,score_scheme,f4_s1_test,f4_s1_exam,f4_s2_test,f4_s2_exam,f5_s1_test,f5_s1_exam,f5_s2_test,f5_s2_exam,f6_test,f6_exam,review_count
中四甲部,2026-2027,2027-2028,2028-2029,中四上學期,唐詩三首,月下獨酌,3+1+1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中四甲部,2026-2027,2027-2028,2028-2029,中四上學期,唐詩三首,登樓,3+2+1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中四甲部,2026-2027,2027-2028,2028-2029,中四上學期,唐詩三首,山居秋暝,3+2+1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中四甲部,2026-2027,2027-2028,2028-2029,中四上學期,宋詞三首,念奴嬌‧赤壁懷古,4+2+1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中四甲部,2026-2027,2027-2028,2028-2029,中四上學期,宋詞三首,聲聲慢‧秋情,3+2+1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中四甲部,2026-2027,2027-2028,2028-2029,中四上學期,宋詞三首,青玉案‧元夕,3+2+1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
中四甲部,2026-2027,2027-2028,2028-2029,中四下學期,儒家思想,論仁、論孝、論君子,4+3+3,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0
中四甲部,2026-2027,2027-2028,2028-2029,中四下學期,儒家思想,魚我所欲也,4+2+1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0
中四甲部,2026-2027,2027-2028,2028-2029,中四下學期,儒家思想,勸學,4+2+1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
中四甲部,2026-2027,2027-2028,2028-2029,中四下學期,儒家思想,師說,5+3+1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
中四甲部,2026-2027,2027-2028,2028-2029,中五上學期,遊記,岳陽樓記,5+3+2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
中四甲部,2026-2027,2027-2028,2028-2029,中五上學期,遊記,始得西山宴遊記,5+3+2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
