Date,DayOfWeek,Event,Category,PIC,Notes,IsHoliday,IsConsecutiveHoliday
2026-09-01,Tuesday,Beginning of School Year,School Start,,,No,No
2026-09-01,Tuesday,First House Meeting,House / Assembly,,,No,No
2026-09-01,Tuesday,BS Formal Dinner (School Commencement),Formal Dinner,,,No,No
2026-09-04,Friday,Beginning of School Year Staff Development Day and Commissioning Service,Staff Development,,Students no school,No,No
2026-09-08,Tuesday,G10-12: SC Introduction (H),Student Council / Activity,"KSM, WKN",Tuesday,No,No
2026-09-09,Wednesday,G7-9: SC Introduction (H),Student Council / Activity,"KSM, WKN",Wednesday,No,No
2026-09-09,Wednesday,G12: Sport Scholarship Scheme (enrolled students) TBC,Scholarship,MLL,Wednesday,No,No
2026-09-10,Thursday,Clubs & Societies Joint Recruitment Day (Setup),Clubs,,,No,No
2026-09-11,Friday,Clubs & Societies Joint Recruitment Day,Clubs,,,No,No
2026-09-14,Monday,Deadline for submission of Action Plan,Deadline,,,No,No
2026-09-15,Tuesday,Inter-House Swimming Finals,Sports / House,,Green highlight,No,No
2026-09-16,Wednesday,G7-9: SC Consultation (H),Student Council / Activity,"KSM, WKN",Wednesday,No,No
2026-09-16,Wednesday,G11: DSE Sharing for final destination statistics (?),DSE / Guidance,MLL,Wednesday,No,No
2026-09-16,Wednesday,G12: Sport Scholarship Scheme (enrolled students) TBC,Scholarship,MLL,Wednesday,No,No
2026-09-18,Friday,BS October Intake Application Deadline,Deadline / Admission,,,No,No
2026-09-22,Tuesday,G10-12: SC Consultation (H),Student Council / Activity,"KSM, WKN",Tuesday,No,No
2026-09-23,Wednesday,G7-12: SC Election (H),Student Council / Activity,"KSM, WKN",Wednesday,No,No
2026-09-23,Wednesday,G7D: Sugar Painting Workshop (CL),Workshop / CL,LWT,Wednesday,No,No
2026-09-23,Wednesday,G8D: Light Clay Lion Dance Sculpting (CL),Workshop / CL,LL,Wednesday,No,No
2026-09-23,Wednesday,G12: ECON Test (?),Test,EP,Wednesday,No,No
2026-09-26,Saturday,The day following the Chinese Mid-Autumn Festival,Public Holiday,,School Holiday,Yes,No
2026-09-26,Saturday,PTA Election Day,PTA,,,No,No
2026-09-29,Tuesday,G12: DSE Sharing for final destination statistics (?),DSE / Guidance,MLL,Tuesday,No,No
2026-09-30,Wednesday,Second House Meeting,House / Assembly,,Wednesday,No,No
2026-10-01,Thursday,National Day,Public Holiday,,School Holiday,Yes,No
2026-10-02,Friday,Blood Donation,Activity,,,No,No
2026-10-03,Saturday,G12 English SBA (IP),SBA / Assessment,,,No,No
2026-10-04,Sunday,BS Move-in Day (Oct. Intake),Admission / Boarding,,,No,No
2026-10-06,Tuesday,G12: DSE JUPAS Workshop – General Procedure for JUPAS (?),DSE / JUPAS,MLL,Tuesday,No,No
2026-10-07,Wednesday,Adopt Friday Timetable,Timetable Adjustment,SKL,Wednesday → Friday TT,No,No
2026-10-09,Friday,Apple Race,Sports / Activity,,Green highlight,No,No
2026-10-09,Friday,G7 Character Building Programme (Day 2),Character Building,,Green highlight,No,No
2026-10-12,Monday,HM Teaching Inspection (to 6/11),Inspection,,,No,No
2026-10-13,Tuesday,G10-12: Chinese Test (CL),Test / CL,TWL,Tuesday,No,No
2026-10-14,Wednesday,G7: Guidance Talk (H),Guidance,SKL,Wednesday,No,No
2026-10-14,Wednesday,G8: Project Legacy Talk (CL),Talk / CL,CCY,Wednesday,No,No
2026-10-14,Wednesday,G9&11: Art of Sichuan Opera Face-changing (A),Activity / A,MYI,Wednesday,No,No
2026-10-14,Wednesday,G10: Eng Reading Test (CL),Test / CL,LHT,Wednesday,No,No
2026-10-16,Friday,Inter-School Swimming Competition (Day 1),Sports,,,No,No
2026-10-17,Saturday,G7 Admissions Talks,Admission,,,No,No
2026-10-19,Monday,The day following Chung Yeung Festival,Public Holiday,,School Holiday,Yes,No
2026-10-20,Tuesday,G10-12: Chinese Test (CL),Test / CL,TWL,Tuesday,No,No
2026-10-21,Wednesday,G7-8: Mathematics Test (CL),Test / CL,KSL,Wednesday,No,No
2026-10-21,Wednesday,G9: First Information Session on G10 Streaming (A),Streaming / A,CHN,Wednesday,No,No
2026-10-21,Wednesday,G10(DS+PM+JT): BAFS Test (?),Test,SWL,Wednesday,No,No
2026-10-21,Wednesday,G11: Eng Reading Test (CL),Test / CL,LHT,Wednesday,No,No
2026-10-21,Wednesday,G12: DSE JUPAS Workshop – OEA and How to make your programme choices (part 1) (?),DSE / JUPAS,MLL,Wednesday,No,No
2026-10-22,Thursday,G7-12: Cheering for Inter-school Swimming Final (Morning Assembly),Assembly / Sports,CHC,Thursday,No,No
2026-10-23,Friday,Inter-School Swimming Competition (Finals),Sports,,,No,No
2026-10-24,Saturday,PTA AGM and Inauguration Ceremony,PTA,,,No,No
2026-10-27,Tuesday,G10: Guidance Talk (H),Guidance,SKL,Tuesday,No,No
2026-10-27,Tuesday,G11(DS+PM+JT): BAFS Test (?),Test,SWL,Tuesday,No,No
2026-10-27,Tuesday,G12: DSE JUPAS Workshop – OEA and How to make your programme choices (part 2) (?),DSE / JUPAS,MLL,Tuesday,No,No
2026-10-28,Wednesday,G7-9: Chinese Test (CL),Test / CL,LKL,Wednesday,No,No
2026-10-28,Wednesday,G10-11: CSD Test (CL),Test / CL,CYY,Wednesday,No,No
2026-10-28,Wednesday,G12(DS+PM+JT): BAFS Test (?),Test,SWL,Wednesday,No,No
2026-10-29,Thursday,BS Formal Dinner (All Saint's Eve),Formal Dinner,,,No,No
2026-10-30,Friday,First Marking Inspection by Panel Heads (G7-G12) (to 13/11),Inspection,,,No,No
2026-11-03,Tuesday,G12: DSE Interview Skill (?),DSE / Interview,MLL,Tuesday,No,No
2026-11-04,Wednesday,G7S: Sugar Painting Workshop (CL),Workshop / CL,LWT,Wednesday,No,No
2026-11-04,Wednesday,G8G: Light Clay Lion Dance Sculpting (CL),Workshop / CL,LL,Wednesday,No,No
2026-11-04,Wednesday,G7-8: GSAG talk (?),Talk,CCY,Wednesday,No,No
2026-11-04,Wednesday,G9: Mathematics Test (CL),Test / CL,KSL,Wednesday,No,No
2026-11-04,Wednesday,G10-11: Mathematics Test (CL),Test / CL,CHN,Wednesday,No,No
2026-11-04,Wednesday,G12: Mock Interview for Sportsman (enrolled students) (?),Interview,MLL,Wednesday,No,No
2026-11-08,Sunday,Garden Fete,Event,,,No,No
2026-11-09,Monday,The day following Garden Fete,School Holiday / Discretionary,,Yellow highlight,Yes,No
2026-11-10,Tuesday,Staff Development Day,Staff Development,,Students no school; Green,No,No
2026-11-11,Wednesday,G7: Life Planning (CL),Life Planning / CL,SKL,Wednesday,No,No
2026-11-11,Wednesday,G8S: Light Clay Lion Dance Sculpting (CL),Workshop / CL,LL,Wednesday,No,No
2026-11-11,Wednesday,G9: Gospel Meeting (A),Activity / A,"CKW, NSL",Wednesday,No,No
2026-11-11,Wednesday,G10-11(DSPMJT): ECON Test (?),Test,EP,Wednesday,No,No
2026-11-11,Wednesday,G12: Eng Writing Test (CL),Test / CL,LHT,Wednesday,No,No
2026-11-12,Thursday,Adopt Tuesday Timetable,Timetable Adjustment,,Thursday → Tuesday TT,No,No
2026-11-12,Thursday,G12: DSE Advising session for JUPAS (?),DSE / JUPAS,MLL,Thursday,No,No
2026-11-12,Thursday,Inter-School Life Saving Competition,Sports,,,No,No
2026-11-17,Tuesday,G10: Project Legacy Talk (CL),Talk / CL,CCY,Tuesday,No,No
2026-11-17,Tuesday,G11: Guidance Talk (H),Guidance,SKL,Tuesday,No,No
2026-11-17,Tuesday,G12: DSE Advising session for JUPAS (?),DSE / JUPAS,MLL,Tuesday,No,No
2026-11-18,Wednesday,G7: Life Planning (CL),Life Planning / CL,SKL,Wednesday,No,No
2026-11-18,Wednesday,G8P: Light Clay Lion Dance Sculpting (CL),Workshop / CL,LL,Wednesday,No,No
2026-11-18,Wednesday,G11-12: M1&M2 Test (?),Test,CHN,Wednesday,No,No
2026-11-18,Wednesday,Inter-School Cross Country Competition Cheering?,Sports,,,No,No
2026-11-19,Thursday,The Flu Vaccination,Health,,,No,No
2026-11-19,Thursday,IB G10 Mid-year Exam (to 27/11),Exam / IB,,,No,No
2026-11-19,Thursday,IB G11 Mid-year Exam (to 27/11),Exam / IB,,,No,No
2026-11-20,Friday,Inter-House Swimming Competition Holiday,School Holiday / Sports,,Yellow highlight,Yes,No
2026-11-24,Tuesday,G12: CSD Test (CL),Test / CL,CYY,Tuesday,No,No
